format_name_text,version_text,format_text,last_updated_date,provenance_text,puid
Harvard Graphics Chart,3.0,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/32
Corel CMX Compressed,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/36
AutoCAD Colour-Dependant Plot Style Table,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/37
AutoCAD Custom Dictionary,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/38
AutoCAD dbConnect Query Set,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/39
AutoCAD dbConnect Template Set,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/40
Wordperfect Secondary File,5.0,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/42
Wordperfect Secondary File,5.1/5.2,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/43
WordPerfect for MS-DOS/Windows Document,6.0,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/44
Microsoft Word Document Template,97-2003,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/45
Microsoft Excel ODBC Query,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/46
Micrografx Draw,2.0,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/47
Visual Basic Macro,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/48
AutoCAD Drawing Standards File,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/50
AutoCAD Drawing Template,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/51
Drawing Interchange Format Style Extract,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/52
Macromedia Freehand,5,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2013-07-19 00:00:00.000,NULL,x-fmt/53
AutoCAD Font Mapping Table,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/54
Frame Vector Metafile,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/55
Ventura Publisher Vector Graphics,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/57
Microsoft Excel Web Query,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/58
AutoCAD Last Saved Layer State,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/59
AutoCAD Linetype Definition File,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/60
AutoCAD Landscape Library,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/61
Log File,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/62
AutoLISP File,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/63
Microsoft Access Database,2.0,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/66
Met Metafile,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/67
AutoCAD Compiled Menu,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/68
AutoLISP Menu Source File,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/69
AutoCAD Menu Resource File,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/70
AutoCAD Source Menu File,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/71
AutoCAD Template Menu File,NULL,"Outline record onlyThis is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/72
Microsoft Outlook Address Book,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/73
Microsoft Excel OLAP Query,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/74
Microsoft Outlook Personal Address Book,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/75
CorelDraw Pattern,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/76
AutoCAD Plot Configuration File,R14,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/77
AutoCAD Plot Configuration File,2000,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/78
AutoCAD Plot Configuration File,1.0-R13,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/79
Macintosh PICT Image,1.0,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2013-07-19 00:00:00.000,NULL,x-fmt/80
Inkwriter/Notetaker Template,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/81
Lotus 1-2-3 Chart,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/82
Hewlett Packard Vector Graphic Plotter File,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/83
Microsoft Powerpoint Design Template,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/84
Picture Publisher Bitmap,5.0,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/85
Microsoft Powerpoint Add-In,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/86
Microsoft Powerpoint Presentation,4.0,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/88
Freelance File,1.0-2.1,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/89
Microsoft Print File,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/90
Postscript Support File,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/93
Pocket Word Document,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2013-07-19 00:00:00.000,NULL,x-fmt/94
Inkwriter/Notetaker Document,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2013-07-19 00:00:00.000,NULL,x-fmt/95
Pocket Word Template,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/96
Microsoft Excel OLE DB Query,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/97
AutoCAD ACIS Export File,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/98
Schedule+ Contacts,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/99
AutoCAD Script,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/100
Harvard Graphics Show,3.0,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/101
3D Studio Shapes,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/102
AutoCAD Compiled Shape/Font File,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2010-12-02 00:00:00.000,NULL,x-fmt/103
AutoCAD Slide Library,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/104
Microsoft Symbolic Link (SYLK) File,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2012-03-16 00:00:00.000,NULL,x-fmt/106
AutoCAD Named Plot Style Table,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/107
Scalable Vector Graphics Compressed,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/109
Fixed Width Values Text File,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/110
Plain Text File,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2009-11-03 00:00:00.000,NULL,x-fmt/111
AutoCAD External Database Configuration File,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/112
Lotus 1-2-3 Worksheet,2.0,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/114
Lotus 1-2-3 Worksheet,3.0,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/115
Lotus 1-2-3 Worksheet,4-5,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2012-10-25 00:00:00.000,NULL,x-fmt/116
Lotus 1-2-3 Worksheet,1.0,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/117
Microsoft Works for Windows,4.0,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/120
Microsoft Excel Macro,4.0,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2013-07-19 00:00:00.000,NULL,x-fmt/123
Microsoft Excel Add-In,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/124
Microsoft Excel Toolbar,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/125
Microsoft Excel Chart,4.0,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2013-07-19 00:00:00.000,NULL,x-fmt/126
AutoCAD Xref Log,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/127
Microsoft Excel Workspace,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/128
MS-DOS Text File with line breaks,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/130
Stationery for Mac OS X,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/131
Speller Custom Dictionary,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/132
Speller Exclude Dictionary,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/133
AutoCAD Device-Independent Binary Plotter File,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/134
